ag_update_date,ag_id,ag_name,ag_gender,ag_date_of_birth,ag_gov_id,ag_license_number,ag_license_issue_date,ag_license_expiry_date,ag_ctgry,ag_expertise_cd,ag_experience,ag_lang,ag_contact_number,ag_email,ag_address_line_1,ag_address_line_2,ag_address_line_3,ag_city,ag_district,ag_state,ag_country,ag_pin_code,ag_since,ag_service_area_type,ag_product,ag_sales_manager_id,ag_account_no
2025-08-13,AG1000,Abram Sengupta,F,1988-02-22,ADHAR-1993-5551-6173,LIC/Ta/63667,2025-05-16,2027-03-20,IM,HLT,3,Hindi/English/Tamil,99709027690,abram29@example.com,098- Sethi Nagar,Sundaram Marg,Street,Chennai,Chennai,Tamil Nadu,India,608185,2022-06-21,Rural,Life,SM1044,355502422496
2025-08-13,AG1001,Zaina Tak,M,1986-10-16,VOTER-C651462,LIC/We/74967,2025-04-26,2028-12-14,IM,HLT,14,Hindi/English/Bengali,99873261750,zaina42@example.com,11/87 Kalla,Sampath Marg,Street,Howrah,Howrah,West Bengal,India,717939,2011-03-05,Urban,Health,SM1031,426619045096
2025-08-13,AG1002,Kashvi Ramaswamy,F,1992-08-14,ADHAR-2242-8834-3810,LIC/Ma/69416,2024-08-26,2029-11-20,MI,HLT,5,Hindi/English/Marathi,99195859942,kashvi28@example.com,07/669- Babu Street,Krishnan Chowk,Street,Mumbai,Mumbai,Maharashtra,India,426121,2020-08-14,Rural,Life,SM1006,969850810131
2025-08-13,AG1003,Kismat Kara,F,1978-01-21,UID-514468195229,LIC/Ma/79554,2016-06-13,2029-11-10,MI,GEN,12,Hindi/English/Marathi,97872811898,kismat39@example.com,H.No. 775 Bains Road,Goswami Circle,Street,Mumbai,Mumbai,Maharashtra,India,472459,2013-02-18,Rural,Motor,SM1002,282061555915
2025-08-13,AG1004,Hansh Agate,F,1983-02-09,VOTER-E231102,LIC/Ta/27947,2019-01-02,2026-09-26,CO,HLT,6,Hindi/English/Tamil,98299995763,hansh66@example.com,662- Hans Path,Gade Circle,Street,Madurai,Madurai,Tamil Nadu,India,671964,2018-09-17,Urban,Health,SM1024,929970498296
2025-08-13,AG1005,Nitya Vohra,F,1970-09-04,UID-678136430336,LIC/Ta/22048,2014-07-22,2030-01-30,PO,HLT,19,Hindi/English/Tamil,97823753469,nitya93@example.com,H.No. 692 Kota Chowk,Bumb Ganj,Street,Chennai,Chennai,Tamil Nadu,India,668359,2006-05-14,Rural,Motor,SM1009,966727224094
2025-08-13,AG1006,Miraya Chauhan,M,1986-04-21,ADHAR-8181-4789-6390,LIC/Ta/44624,2023-11-22,2026-09-11,IM,LFE,3,Hindi/English/Tamil,99375634773,miraya39@example.com,17/72- Arya,Bir Marg,Street,Chennai,Chennai,Tamil Nadu,India,670386,2022-04-13,Urban,Combo,SM1010,945157571205
2025-08-13,AG1007,Mehul Sodhi,M,1995-04-03,VOTER-C925399,LIC/Ta/81865,2024-06-07,2028-06-02,MI,HLT,4,Hindi/English/Tamil,97827888748,mehul91@example.com,H.No. 96- Sundaram Road,Chaudry Nagar,Street,Chennai,Chennai,Tamil Nadu,India,632629,2021-06-15,Urban,Life,SM1044,860450246450
2025-08-13,AG1008,Prisha Sharaf,M,1995-07-22,VOTER-E784925,LIC/We/92455,2024-11-25,2029-09-18,MI,GEN,11,Hindi/English/Bengali,97535097382,prisha80@example.com,H.No. 045- Jaggi Street,D’Alia Marg,Street,Howrah,Howrah,West Bengal,India,799711,2013-12-25,Urban,Life,SM1042,098868593246
2025-08-13,AG1009,Saira Mani,M,1987-11-19,UID-971622418350,LIC/We/90842,2023-02-18,2027-09-11,CO,GEN,19,Hindi/English/Bengali,98014182208,saira40@example.com,H.No. 48 Chhabra Marg,Bedi Road,Street,Howrah,Howrah,West Bengal,India,754288,2005-11-09,Urban,Life,SM1027,082949501183
2025-08-13,AG1010,Kismat Saraf,F,1984-01-15,VOTER-E322879,LIC/De/62633,2012-10-15,2030-01-08,MI,LFE,19,Hindi/English,98399308066,kismat29@example.com,919 Chhabra Ganj,Gade Zila,Street,New Delhi,New Delhi,Delhi,India,110053,2006-06-16,Rural,Motor,SM1010,076093920562
2025-08-13,AG1011,Manjari Sama,F,1977-10-24,UID-467164534197,LIC/Ka/45174,2021-05-30,2030-02-24,CO,GEN,9,Hindi/English/Kannada,97069530638,manjari45@example.com,76- Cheema Ganj,Balasubramanian Marg,Street,Bangalore,Bangalore,Karnataka,India,562480,2015-11-22,Rural,Motor,SM1006,576094442448
2025-08-13,AG1012,Pihu Badal,F,1971-05-11,UID-513577917671,LIC/Ma/57447,2019-08-20,2027-05-15,MI,LFE,8,Hindi/English/Marathi,97372845158,pihu24@example.com,75/254 Yogi Street,Batta,Street,Mumbai,Mumbai,Maharashtra,India,457439,2017-08-01,Urban,Health,SM1027,958285582226
2025-08-13,AG1013,Mahika Rao,M,1965-07-02,ADHAR-6395-2290-1844,LIC/Ma/95935,2024-07-22,2026-11-12,MI,LFE,3,Hindi/English/Marathi,98966901273,mahika72@example.com,39/323- Bhargava Ganj,Halder Path,Street,Nagpur,Nagpur,Maharashtra,India,436922,2022-02-16,Rural,Motor,SM1029,661922374570
2025-08-13,AG1014,Tejas Bali,M,1984-11-05,UID-186359639634,LIC/Ka/96285,2025-07-20,2028-09-28,MI,LFE,0,Hindi/English/Kannada,97109898374,tejas45@example.com,20/09- Sarma Street,Mannan Circle,Street,Bangalore,Bangalore,Karnataka,India,564805,2025-06-12,Rural,Life,SM1026,389398493309
2025-08-13,AG1015,Rohan Lad,F,1977-02-20,VOTER-E459967,LIC/Ma/83859,2023-07-17,2029-06-30,CO,GEN,5,Hindi/English/Marathi,99864117951,rohan44@example.com,H.No. 285 Srivastava Circle,Shenoy,Street,Nagpur,Nagpur,Maharashtra,India,464157,2020-06-16,Rural,Life,SM1034,664254354468
2025-08-13,AG1016,Dhruv Kumar,M,1994-01-27,UID-413508036833,LIC/De/46808,2018-06-25,2029-07-11,IM,LFE,19,Hindi/English,98799575769,dhruv27@example.com,H.No. 20- Batta Circle,Kata Path,Street,New Delhi,New Delhi,Delhi,India,110071,2005-12-15,Urban,Health,SM1009,802842559389
2025-08-13,AG1017,Nakul Basu,F,1972-07-29,VOTER-E575199,LIC/Ma/33421,2024-12-23,2029-09-04,MI,GEN,2,Hindi/English/Marathi,99509859367,nakul88@example.com,234- Chander Nagar,Bhatti Circle,Street,Nagpur,Nagpur,Maharashtra,India,490264,2023-01-24,Urban,Combo,SM1003,161552045945
2025-08-13,AG1018,Ela Dutt,M,1966-03-02,VOTER-D837489,LIC/Ma/67746,2024-03-11,2029-05-31,IM,GEN,2,Hindi/English/Marathi,97455306006,ela28@example.com,89/151 Sharma Marg,Gokhale Road,Street,Nagpur,Nagpur,Maharashtra,India,490012,2023-05-04,Urban,Life,SM1044,956143993322
2025-08-13,AG1019,Adira Brar,M,1984-10-03,ADHAR-3277-4362-7038,LIC/Ma/14559,2024-06-03,2027-12-18,IM,LFE,3,Hindi/English/Marathi,97885727533,adira57@example.com,49/31- Thaman Chowk,Mann Zila,Street,Pune,Pune,Maharashtra,India,407480,2022-07-31,Rural,Health,SM1021,052480833044
2025-08-13,AG1020,Sana Deo,F,1989-11-22,VOTER-E984064,LIC/De/47883,2024-10-22,2025-10-20,PO,LFE,12,Hindi/English,98658642064,sana90@example.com,H.No. 117- Suri Zila,Anand Circle,Street,New Delhi,New Delhi,Delhi,India,110007,2013-08-04,Urban,Health,SM1015,691153537618
2025-08-13,AG1021,Reyansh Guha,F,1968-03-10,UID-879133454041,LIC/Ka/92738,2020-01-26,2026-04-29,CO,HLT,14,Hindi/English/Kannada,97760149744,reyansh55@example.com,H.No. 059- Chauhan Ganj,Datta Circle,Street,Bangalore,Bangalore,Karnataka,India,569947,2011-07-14,Urban,Combo,SM1024,767836646757
2025-08-13,AG1022,Neysa Saha,M,1983-03-26,VOTER-D434847,LIC/Ka/87928,2025-04-25,2029-10-02,IM,HLT,1,Hindi/English/Kannada,98356634900,neysa91@example.com,H.No. 415- Chanda Ganj,Anne Street,Street,Mysore,Mysore,Karnataka,India,577373,2024-02-24,Urban,Health,SM1042,721449615962
2025-08-13,AG1023,Samar Bhattacharyya,M,1980-05-20,UID-677742651541,LIC/We/99926,2019-09-24,2029-11-19,CO,HLT,9,Hindi/English/Bengali,99363782682,samar96@example.com,H.No. 71- Iyengar Chowk,Wadhwa Chowk,Street,Howrah,Howrah,West Bengal,India,743708,2015-09-22,Rural,Health,SM1015,548803532072
2025-08-13,AG1024,Aayush Mani,F,2001-11-25,UID-173287284573,LIC/We/40964,2025-02-15,2029-07-15,MI,LFE,7,Hindi/English/Bengali,97004131020,aayush62@example.com,98/259 Rajagopal,Suresh Zila,Street,Kolkata,Kolkata,West Bengal,India,798889,2018-07-20,Rural,Health,SM1023,587833101762
2025-08-13,AG1025,Farhan Ahluwalia,M,1988-02-23,ADHAR-4562-6093-5355,LIC/Ta/63046,2025-07-22,2028-09-05,IM,LFE,10,Hindi/English/Tamil,99846258529,farhan82@example.com,76/78- Gulati,Seshadri Circle,Street,Madurai,Madurai,Tamil Nadu,India,645980,2014-09-13,Urban,Motor,SM1030,814074188772
2025-08-13,AG1026,Anay Doshi,F,1971-06-19,UID-741518715835,LIC/Ma/62031,2017-09-22,2028-11-10,IM,HLT,8,Hindi/English/Marathi,98092072215,anay40@example.com,004 Karan Ganj,Borra Street,Street,Mumbai,Mumbai,Maharashtra,India,497067,2017-03-05,Urban,Motor,SM1001,155942705115
2025-08-13,AG1027,Pihu Ahluwalia,M,1970-11-27,UID-696313973113,LIC/Ma/26401,2010-02-11,2026-09-06,IM,HLT,17,Hindi/English/Marathi,99426925081,pihu91@example.com,44/08- Sabharwal,Hegde Road,Street,Mumbai,Mumbai,Maharashtra,India,449984,2007-10-16,Urban,Life,SM1036,397427889440
2025-08-13,AG1028,Amira Aurora,F,1996-01-24,UID-917506806252,LIC/Ka/70494,2011-12-06,2028-04-01,MI,LFE,13,Hindi/English/Kannada,99413351776,amira89@example.com,55/421 Ganguly Road,Ram,Street,Mysore,Mysore,Karnataka,India,582955,2011-11-09,Rural,Combo,SM1047,970164664938
