mem_id,mem_tpa_member_id,mem_type,mem_first_name,mem_middle_name,mem_last_name,mem_full_name,mem_dob,mem_dod,mem_gender,mem_marital_status,mem_nationality,mem_citizenship_status,mem_occupation,mem_educational_qualification,mem_permanent_address_line1,mem_permanent_address_line2,mem_permanent_address_line3,mem_permanent_landmark,mem_permanent_city,mem_permanent_district,mem_permanent_state,mem_permanent_country,mem_permanent_pin_code,mem_communication_address_line1,mem_communication_address_line2,mem_communication_address_line3,mem_communication_landmark,mem_communication_city,mem_communication_district,mem_communication_state,mem_communication_country,mem_communication_pin_code,mem_telephone_type_1,mem_telephone_number_1,mem_telephone_type_2,mem_telephone_number_2,mem_email_1,mem_email_2,mem_acc_no,mem_late_enrollment_flag,mem_ped_non_discl_rem_flag,mem_chronic_disease_ind
MEMBER-000001,TPA-336170,B,Taimur,Akarsh,Sahota,Charvi Bora,1983-01-03,,F,M,Indian,R,TEACHER,03,606 Randhawa Nagar,Toor Road,Mangalore,Near Comar Marg,Ghaziabad,Bhiwani,Tamil Nadu,India,875881,606 Randhawa Nagar,Toor Road,Mangalore,Near Comar Marg,Ghaziabad,Bhiwani,Tamil Nadu,India,040200,M,03180664446,H,+912577964273,jayeshkale@example.net,sakshamkothari@example.com,641194619955,No,0,0
MEMBER-000002,TPA-438044,B,Neysa,,Chacko,Abram Sharaf,1976-01-09,,F,S,Indian,R,PROF,05,H.No. 56- Khare Nagar,Sabharwal Zila,Thane,Behind Mall,Imphal,Mahbubnagar,Arunachal Pradesh,India,235739,H.No. 56- Khare Nagar,Hora,Thane,Behind Mall,Imphal,Sri Ganganagar,Arunachal Pradesh,India,635959,H,6669813858,H,09713143508,fdesai@example.org,,504933868189,No,0,0
MEMBER-000003,TPA-547898,I,Ahana ,Urvi,Trivedi,Kaira Anand,1990-07-25,,F,W,Indian,N,STUDENT,03,434 Ram Path,Chhabra Path,Tiruvottiyur,Opposite Sehgal PLC,Nandyal,Sri Ganganagar,Telangana,India,043745,434 Ram Path,Chhabra Path,Tiruvottiyur,Opposite Sehgal PLC,Nandyal,Sri Ganganagar,Telangana,India,043745,M,+916949929051,,+910973165691,borderaghav@example.net,rsabharwal@example.com,574418270858,No,0,0
MEMBER-000004,TPA-257805,B,,Taimur,Issac,Taran Khurana,1953-03-20,,M,M,Indian,R,FARMER,07,H.No. 53 Rastogi Zila,Khurana Path,Kadapa,Near Deshmukh Circle,Madurai,Ahmedabad,Tamil Nadu,India,733335,H.No. 570- Sarin,Khurana Path,Kadapa,Near Deshmukh Circle,Madurai,Ahmedabad,Tamil Nadu,India,532005,H,3006882344,M,02561290210,psamra@example.net,,455303184167,No,0,0
MEMBER-000005,TPA-371426,I,Ritvik,Tanya,Rao,Kismat Bala,2001-12-09,,F,D,Indian,R,GOVT_EMP,05,87/806- Mani Chowk,Dugal Path,Pimpri-Chinchwad,Near Dave,Pali,Bathinda,Assam,India,966525,87/806- Mani Chowk,Dugal Path,Pimpri-Chinchwad,Near Dave,Pali,Bathinda,Assam,India,966525,M,2415622817,,8948187849,vardaniya58@example.org,,754981302841,No,0,0
MEMBER-000006,TPA-997135,I,Alisha,,Rastogi,Zain Jani,1959-11-17,2023-09-25,M,S,Indian,R,RETIRED,05,H.No. 81- Mani Zila,Balan Chowk,Deoghar,,Buxar,Katihar,Mizoram,India,683652,H.No. 81- Mani Zila,Balan Chowk,Deoghar,,Buxar,Machilipatnam,Haryana,India,683652,H,9474244505,M,08744398896,hridaanzacharia@example.net,,187906116500,No,0,0
MEMBER-000007,TPA-333717,I,Jayant,Yuvaan,Kade,Nitara Rau,2003-10-20,,M,M,Indian,R,RETIRED,04,H.No. 80- Kalla Street,Majumdar Nagar,Madanapalle,Near Konda Zila,Kishanganj,Jehanabad,Jharkhand,India,272753,41 Madan,Majumdar Nagar,Madanapalle,Near Konda Zila,Kishanganj,Jehanabad,Jharkhand,India,465287,M,+919864706526,M,,lagandas@example.org,gokuljaggi@example.org,106487397225,Yes,0,0
MEMBER-000008,TPA-712763,I,Aaina,,Dara,Hazel Wable,1991-10-26,,M,M,Indian,R,TEACHER,03,H.No. 315 Sawhney Path,Rajan Chowk,Parbhani,"Opposite Sabharwal, Jain and Dara",Mathura,Jamalpur,Sikkim,India,645685,H.No. 315 Sawhney Path,Rajan Chowk,Parbhani,"Opposite Sabharwal, Jain and Dara",Mathura,Jamalpur,Gujarat,India,645685,O,+913591220701,H,,advika86@example.org,jhaveriaayush@example.com,254625070424,No,0,0
MEMBER-000009,TPA-807304,B,Kavya,,Gour,Anahita Ben,1986-09-12,,M,S,Indian,R,STUDENT,05,41/333- Chaudhari Road,Contractor Circle,Mangalore,Near Dass,Bhusawal,Hosur,Jharkhand,India,296177,41/333- Chaudhari Road,Contractor Circle,Mangalore,Near Dass,Bhusawal,Hosur,Jharkhand,India,296177,M,6676550426,,,mranganathan@example.net,,281616105716,No,0,0
MEMBER-000010,TPA-905074,B,Faiyaz,Hridaan,Amble,Anaya Buch,1959-01-31,,F,S,Indian,R,ENGINEER,03,23- Tak Zila,Chand Street,Jamshedpur,Opposite Brahmbhatt Inc,Machilipatnam,Tirupati,Chhattisgarh,India,266926,H.No. 221- Shroff Path,Chand Street,Jamshedpur,Opposite Brahmbhatt Inc,Jehanabad,Tirupati,Chhattisgarh,India,266926,H,02745860260,M,+916067365437,ctrivedi@example.com,contractorvivaan@example.net,,No,0,0
