policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-16759,,N,N,IF,U,I,,2024-08-01,2024-08-05,2025-08-04,,AG1105,SM1047,MEMBER-002679,MEMBER-004917,MEMBER-000665,MEMBER-003240,MEMBER-006221,1060845.51,52772.05,Q,13193.01,,,No,5,797355.99,No,9248310890,Urban,,,,IND,POL-16759,UIN-539,Plan C,IND_HEALTH
POL-18495,,N,N,IF,S,I,,2024-08-02,2024-08-04,2025-08-03,,AG1012,SM1040,MEMBER-006574,MEMBER-002829,MEMBER-001472,MEMBER-003901,,2348379.12,112829.99,M,75219.99,,,No,4,1491917.99,No,9355276971,Rural,,,,IND,POL-18495,UIN-178,Plan B,PERSONAL_ACCIDENT
POL-18852,,N,N,IF,S,I,,2024-08-11,2024-08-11,2025-08-10,,AG1128,SM1034,MEMBER-003341,MEMBER-006293,MEMBER-002699,MEMBER-000426,,967739.93,37372.13,Q,18686.06,,,No,4,586325.82,No,9749192723,Rural,,,,IND,POL-18852,UIN-410,Plan B,FAMILY_HEALTH_OPTIMA
POL-10749,,N,N,CP,S,I,,2024-08-04,2024-08-08,2025-08-07,2025-08-03,AG1020,SM1000,MEMBER-002893,MEMBER-004372,,,,1099200.05,60084.19,Y,60084.19,,,No,2,704811.65,No,9677069741,Urban,,,,IND,POL-10749,UIN-410,Plan B,FAMILY_HEALTH_OPTIMA
POL-17555,POL-18852,Y,N,IF,S,I,,2024-08-03,2024-08-04,2025-08-03,,AG1028,SM1029,MEMBER-006200,MEMBER-001574,MEMBER-005982,,,1756130.68,169200.98,Y,169200.98,,,No,3,1064959.37,No,9316465626,Rural,1697701.81,2024-08-04,2024-08-03,SPP,POL-18852,UIN-191,Plan C,CRITICAL_ILLNESS
POL-15469,POL-18852,Y,N,XP,U,I,,2024-08-11,2024-08-14,2025-08-13,,AG1060,SM1005,MEMBER-006740,,,,,1539038.01,101284.87,Y,101284.87,,,No,1,882412.0,No,9597158385,Rural,1310201.29,2024-08-14,2024-08-13,DIR,POL-18852,UIN-510,Plan A,GROUP_HEALTH
POL-19667,POL-15469,Y,N,IF,S,I,,2024-08-07,2024-08-07,2025-08-06,,AG1001,SM1030,MEMBER-003355,,,,,1152489.93,34747.03,Q,34747.03,,,No,1,630259.73,No,9119061713,Rural,1291595.82,2024-08-07,2024-08-06,IND,POL-15469,UIN-332,Plan B,IND_HEALTH
POL-15700,POL-15469,N,Y,XP,S,I,,2024-08-11,2024-08-11,2025-08-10,,AG1086,SM1038,MEMBER-003419,,,,,2078021.49,158726.0,Q,39681.5,2024-08-11,,No,1,1162271.19,No,9678567424,Rural,2027922.94,,2024-08-10,ORG,POL-15469,UIN-545,Plan C,TERM_LIFE
POL-14627,,N,N,IF,S,I,,2024-08-12,2024-08-16,2025-08-15,,AG1098,SM1044,MEMBER-003092,MEMBER-004121,MEMBER-006494,,,2083073.52,192113.17,Y,192113.17,,,No,3,1485878.69,No,9138520314,Rural,,,,IND,POL-14627,UIN-530,Plan B,IND_HEALTH
POL-18063,,N,N,IF,S,I,,2024-08-11,2024-08-12,2025-08-11,,AG1145,SM1008,MEMBER-003928,MEMBER-000336,MEMBER-006847,MEMBER-000256,,119722.63,3062.5,Y,3062.5,,,No,4,78831.1,No,9810910873,Rural,,,,IND,POL-18063,UIN-665,Plan A,FAMILY_HEALTH_OPTIMA
