prac_id,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details
PRAC-1000,Rhea Sangha,MCI/WES/76975,8524973733,2028-07-18,1976-01-26,Female,350453286476,99054972648,rhea.doc96@clinic.com,27/270 Gara Marg,Buch Nagar,Howrah,West Bengal,799845,Neurology,Cardiology,2084N0400X,Armed Forces Medical College,2002,HOSP-0041,Y,2012-06-21,Under Review,
PRAC-1001,Advika Toor,MCI/DEL/80992,9987833202,2029-12-02,1992-03-05,Female,592362715408,97322525599,advika.doc8@clinic.com,315 Goswami Road,Majumdar Path,New Delhi,Delhi,110060,Oncology,Orthopedic Surgery,207R00000X,Kasturba Medical College,2021,HOSP-0004,Y,2024-05-26,Active,
PRAC-1002,Fateh Badal,MCI/MAH/18105,9714225154,2028-10-12,1986-01-04,Female,465644900710,98264946836,fateh.doc81@clinic.com,H.No. 607 Varghese Marg,,Nagpur,Maharashtra,457085,General Surgery,Neurology,208600000X,All India Institute of Medical Sciences,2011,HOSP-0043,Y,2022-01-24,Active,
PRAC-1003,Saira Grover,MCI/KAR/59718,5839492940,2027-08-22,1970-03-28,Female,997214850358,99633906128,saira.doc21@clinic.com,27/57- Yogi Ganj,,Bangalore,Karnataka,567825,General Practice,Oncology,208D00000X,Christian Medical College,1996,HOSP-0018,N,2009-04-02,Active,
PRAC-1004,Aaryahi Ramaswamy,MCI/DEL/87758,5294248398,2027-09-09,1973-04-17,Female,302172657360,97751716027,aaryahi.doc82@clinic.com,61/03 Sarraf Circle,,New Delhi,Delhi,110019,General Practice,General Surgery,208D00000X,JIPMER,2001,HOSP-0029,N,2023-01-26,Active,
PRAC-1005,Anahi Ahuja,MCI/WES/27078,0301939670,2029-04-17,1962-09-05,Male,449083869792,98263541714,anahi.doc63@clinic.com,49 Saran Path,,Howrah,West Bengal,786006,Pediatrics,Oncology,208000000X,Christian Medical College,1988,HOSP-0017,N,2018-05-10,Active,
PRAC-1006,Ira Dave,MCI/DEL/84820,8853015484,2030-07-29,1985-09-12,Male,365034125403,98918251445,ira.doc88@clinic.com,524- Contractor Nagar,Bhatti Ganj,New Delhi,Delhi,110005,Pediatrics,Dermatology,208000000X,Kasturba Medical College,2015,HOSP-0026,Y,2018-03-15,Active,
PRAC-1007,Eshani Bhatti,MCI/WES/58774,2402099990,2026-11-24,1965-03-24,Female,652219353212,97327538218,eshani.doc88@clinic.com,216 Goswami Path,Walia Ganj,Howrah,West Bengal,727242,Dermatology,Orthopedic Surgery,207N00000X,JIPMER,1992,HOSP-0045,Y,2002-09-01,Active,
PRAC-1008,Dhanush Khatri,MCI/WES/84505,7461325687,2028-11-15,1970-10-30,Other,542117985843,98626297344,dhanush.doc11@clinic.com,H.No. 492- Bhavsar Road,Lal Marg,Howrah,West Bengal,726043,Dermatology,Cardiology,207N00000X,Armed Forces Medical College,2000,HOSP-0021,Y,2004-03-19,Active,
PRAC-1009,Farhan Bhavsar,MCI/MAH/95413,7422083834,2026-07-22,1989-12-20,Other,896178882533,99072981514,farhan.doc95@clinic.com,H.No. 271- Mandal Ganj,Ghose Ganj,Nagpur,Maharashtra,469763,Pediatrics,,208000000X,Armed Forces Medical College,2019,HOSP-0035,Y,2021-10-17,Active,
