Practitioner_ID,prac_name,prac_license_number,prac_NPI_Number,prac_license_expiry_date,prac_date_of_birth,prac_gender,prac_bank_account_number,prac_contact_number,prac_email_address,prac_practice_address_line1,prac_practice_address_line2,prac_practice_city,prac_practice_state,prac_practice_pincode,prac_primary_specialty,prac_secondary_specialty,prac_taxonomy_code,prac_medical_school,prac_graduation_year,prac_primary_hospital_id,prac_is_solo_practice,prac_onboarding_date,prac_practitioner_status,prac_sanction_history_details,CLAIM_CNT_LT_1M,CLAIM_AMT_LT_1M,CASHLESS_CLAIM_CNT_LT_1M,REIMB_CLAIM_CNT_LT_1M,REJECT_CLAIM_CNT_LT_1M,REJECT_CLAIM_AMT_LT_1M,APPROVE_CLAIM_CNT_LT_1M,APPROVE_CLAIM_AMT_LT_1M,UNIQUE_PATIENTS_CNT_LT_1M,UNIQUE_HOSPITALS_CNT_LT_1M,UNIQUE_AGENTS_CNT_LT_1M,AVG_CONSULTING_FEE_LT_1M,AVG_MEDICINE_FEE_LT_1M,REJECT_REIMB_CLAIM_CNT_LT_1M,REJECT_CSHL_CLAIM_CNT_LT_1M,APPROVE_CASHLESS_CLAIM_CNT_LT_1M,APPROVE_REIMB_CLAIM_CNT_LT_1M,CLAIM_CNT_LT_3M,CLAIM_AMT_LT_3M,CASHLESS_CLAIM_CNT_LT_3M,REIMB_CLAIM_CNT_LT_3M,REJECT_CLAIM_CNT_LT_3M,REJECT_CLAIM_AMT_LT_3M,APPROVE_CLAIM_CNT_LT_3M,APPROVE_CLAIM_AMT_LT_3M,UNIQUE_PATIENTS_CNT_LT_3M,UNIQUE_HOSPITALS_CNT_LT_3M,UNIQUE_AGENTS_CNT_LT_3M,AVG_CONSULTING_FEE_LT_3M,AVG_MEDICINE_FEE_LT_3M,REJECT_REIMB_CLAIM_CNT_LT_3M,REJECT_CSHL_CLAIM_CNT_LT_3M,APPROVE_CASHLESS_CLAIM_CNT_LT_3M,APPROVE_REIMB_CLAIM_CNT_LT_3M,CLAIM_CNT_LT_6M,CLAIM_AMT_LT_6M,CASHLESS_CLAIM_CNT_LT_6M,REIMB_CLAIM_CNT_LT_6M,REJECT_CLAIM_CNT_LT_6M,REJECT_CLAIM_AMT_LT_6M,APPROVE_CLAIM_CNT_LT_6M,APPROVE_CLAIM_AMT_LT_6M,UNIQUE_PATIENTS_CNT_LT_6M,UNIQUE_HOSPITALS_CNT_LT_6M,UNIQUE_AGENTS_CNT_LT_6M,AVG_CONSULTING_FEE_LT_6M,AVG_MEDICINE_FEE_LT_6M,REJECT_REIMB_CLAIM_CNT_LT_6M,REJECT_CSHL_CLAIM_CNT_LT_6M,APPROVE_CASHLESS_CLAIM_CNT_LT_6M,APPROVE_REIMB_CLAIM_CNT_LT_6M,CLAIM_CNT_YR_1,CLAIM_AMT_YR_1,CASHLESS_CLAIM_CNT_YR_1,REIMB_CLAIM_CNT_YR_1,REJECT_CLAIM_CNT_YR_1,REJECT_CLAIM_AMT_YR_1,APPROVE_CLAIM_CNT_YR_1,APPROVE_CLAIM_AMT_YR_1,UNIQUE_PATIENTS_CNT_YR_1,UNIQUE_HOSPITALS_CNT_YR_1,UNIQUE_AGENTS_CNT_YR_1,AVG_CONSULTING_FEE_YR_1,AVG_MEDICINE_FEE_YR_1,REJECT_REIMB_CLAIM_CNT_YR_1,REJECT_CSHL_CLAIM_CNT_YR_1,APPROVE_CASHLESS_CLAIM_CNT_YR_1,APPROVE_REIMB_CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_AMT_YR_2,CASHLESS_CLAIM_CNT_YR_2,REIMB_CLAIM_CNT_YR_2,REJECT_CLAIM_CNT_YR_2,REJECT_CLAIM_AMT_YR_2,APPROVE_CLAIM_CNT_YR_2,APPROVE_CLAIM_AMT_YR_2,UNIQUE_PATIENTS_CNT_YR_2,UNIQUE_HOSPITALS_CNT_YR_2,UNIQUE_AGENTS_CNT_YR_2,AVG_CONSULTING_FEE_YR_2,AVG_MEDICINE_FEE_YR_2,REJECT_REIMB_CLAIM_CNT_YR_2,REJECT_CSHL_CLAIM_CNT_YR_2,APPROVE_CASHLESS_CLAIM_CNT_YR_2,APPROVE_REIMB_CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_AMT_YR_3,CASHLESS_CLAIM_CNT_YR_3,REIMB_CLAIM_CNT_YR_3,REJECT_CLAIM_CNT_YR_3,REJECT_CLAIM_AMT_YR_3,APPROVE_CLAIM_CNT_YR_3,APPROVE_CLAIM_AMT_YR_3,UNIQUE_PATIENTS_CNT_YR_3,UNIQUE_HOSPITALS_CNT_YR_3,UNIQUE_AGENTS_CNT_YR_3,AVG_CONSULTING_FEE_YR_3,AVG_MEDICINE_FEE_YR_3,REJECT_REIMB_CLAIM_CNT_YR_3,REJECT_CSHL_CLAIM_CNT_YR_3,APPROVE_CASHLESS_CLAIM_CNT_YR_3,APPROVE_REIMB_CLAIM_CNT_YR_3,AVG_CLAIM_AMT_LT_1M,AVG_APPR_CLAIM_AMT_LT_1M,AVG_CLAIM_AMT_LT_3M,AVG_APPR_CLAIM_AMT_LT_3M,AVG_CLAIM_AMT_LT_6M,AVG_APPR_CLAIM_AMT_LT_6M,AVG_CLAIM_AMT_YR_1,AVG_APPR_CLAIM_AMT_YR_1,AVG_CLAIM_AMT_YR_2,AVG_APPR_CLAIM_AMT_YR_2,AVG_CLAIM_AMT_YR_3,AVG_APPR_CLAIM_AMT_YR_3,MEMBER_BANKMATCH_FLG
PRAC-1000,Rhea Sangha,MCI/WES/76975,8524973733,2028-07-18,1976-01-26,Female,350453286476,99054972648,rhea.doc96@clinic.com,27/270 Gara Marg,Buch Nagar,Howrah,West Bengal,799845,Neurology,Cardiology,2084N0400X,Armed Forces Medical College,2002,HOSP-0041,Y,2012-06-21,Under Review,0,5.0,1251493.25,3.0,2.0,1.0,461139.32,4.0,679347.22,5.0,5.0,5.0,33937.848,48909.286,0.0,1.0,2.0,2.0,15,8905121.02,10,5,2,712909.64,13,6903940.36,15,15,14,106064.308,171635.90266666666,0.0,2.0,8,5,27,18915303.59,20,7,3,1884654.4200000002,24,14736113.49,27,20,25,159850.97037037037,149814.92074074072,0.0,3.0,17,7,31,20988009.669999998,21,10,3,1884654.4200000002,27,16280033.96,31,21,27,154875.0141935484,148294.82741935484,0.0,3.0,18,9,20,11907657.78,16,4,0,0.0,20,10089152.790000001,20,14,16,143525.44199999998,89518.9915,0.0,0.0,16,4,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250298.65,169836.805,593674.7346666666,531072.3353846155,700566.7996296296,614004.72875,677032.57,602964.2207407408,595382.889,504457.63950000005,0.0,0.0,0
PRAC-1001,Advika Toor,MCI/DEL/80992,9987833202,2029-12-02,1992-03-05,Female,592362715408,97322525599,advika.doc8@clinic.com,315 Goswami Road,Majumdar Path,New Delhi,Delhi,110060,Oncology,Orthopedic Surgery,207R00000X,Kasturba Medical College,2021,HOSP-0004,Y,2024-05-26,Active,0,2.0,1536166.47,1.0,1.0,1.0,705043.46,1.0,635885.17,2.0,2.0,2.0,191382.25,122622.41500000001,1.0,0.0,1.0,0.0,13,7241105.32,10,3,3,1397148.48,9,4855197.69,13,12,13,122473.07076923076,113236.32769230769,1.0,2.0,7,2,26,19888775.38,22,4,5,1631107.6600000001,20,15132037.41,26,20,25,162650.11192307694,149666.18153846153,1.0,4.0,17,3,33,23721422.66,27,6,5,1631107.6600000001,24,17397743.16,33,23,30,141616.97606060607,153079.7712121212,1.0,4.0,20,4,24,13497349.5,16,8,1,1271203.6,20,9224021.870000001,24,21,22,107864.71166666667,107930.90541666666,0.0,1.0,13,7,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,768083.235,635885.17,557008.1015384615,539466.41,764952.8992307691,756601.8705,718830.9896969697,724905.965,562389.5625,461201.0935000001,0.0,0.0,0
PRAC-1002,Fateh Badal,MCI/MAH/18105,9714225154,2028-10-12,1986-01-04,Female,465644900710,98264946836,fateh.doc81@clinic.com,H.No. 607 Varghese Marg,0,Nagpur,Maharashtra,457085,General Surgery,Neurology,208600000X,All India Institute of Medical Sciences,2011,HOSP-0043,Y,2022-01-24,Active,0,3.0,1869282.09,2.0,1.0,0.0,0.0,3.0,1378725.19,3.0,3.0,3.0,234545.44666666666,40157.426666666666,0.0,0.0,2.0,1.0,10,4484879.83,8,2,0,0.0,10,3614221.96,10,10,10,118034.722,62767.311,0.0,0.0,8,2,30,27821432.02,21,9,2,1307889.9100000001,26,20932821.99,30,25,28,200797.59266666666,152716.26233333335,0.0,2.0,17,9,37,29781335.38,27,10,2,1307889.9100000001,32,22416430.78,37,27,30,168641.13108108108,138771.0208108108,0.0,2.0,22,10,22,16799625.82,19,3,4,1722290.87,16,13198477.75,22,19,22,187361.64863636365,124910.79727272727,1.0,3.0,14,2,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,623094.03,459575.0633333333,448487.983,361422.196,927381.0673333333,805108.538076923,804900.9562162162,700513.461875,763619.3554545455,824904.859375,0.0,0.0,0
PRAC-1003,Saira Grover,MCI/KAR/59718,5839492940,2027-08-22,1970-03-28,Female,997214850358,99633906128,saira.doc21@clinic.com,27/57- Yogi Ganj,0,Bangalore,Karnataka,567825,General Practice,Oncology,208D00000X,Christian Medical College,1996,HOSP-0018,N,2009-04-02,Active,0,2.0,1244424.99,1.0,1.0,0.0,0.0,2.0,909366.42,2.0,2.0,2.0,152882.015,134877.87,0.0,0.0,1.0,1.0,9,4362231.51,8,1,1,829497.08,7,2800938.72,9,7,9,118799.86111111111,100561.33777777778,0.0,1.0,6,1,24,15402151.09,20,4,1,829497.08,22,12909631.46,24,20,22,143786.78291666668,101420.94583333335,0.0,1.0,18,4,31,19103118.4,25,6,2,1274136.2999999998,27,15204429.290000001,31,26,28,141166.33774193548,101061.24129032258,0.0,2.0,21,6,20,9706993.01,17,3,1,1307220.8,16,5813311.21,20,15,19,103563.124,94134.7485,0.0,1.0,13,3,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,622212.495,454683.21,484692.38999999996,400134.10285714286,641756.2954166667,586801.43,616229.6258064515,563127.0107407408,485349.6505,363331.950625,0.0,0.0,0
PRAC-1004,Aaryahi Ramaswamy,MCI/DEL/87758,5294248398,2027-09-09,1973-04-17,Female,302172657360,97751716027,aaryahi.doc82@clinic.com,61/03 Sarraf Circle,0,New Delhi,Delhi,110019,General Practice,General Surgery,208D00000X,JIPMER,2001,HOSP-0029,N,2023-01-26,Active,0,2.0,1103406.94,2.0,0.0,1.0,665992.64,1.0,416536.37,2.0,2.0,2.0,162532.32,136510.515,0.0,1.0,1.0,0.0,7,3415556.97,7,0,2,1845708.35,5,1313225.23,7,7,7,150289.5657142857,133447.63428571427,0.0,2.0,5,0,17,11654230.93,13,4,2,1845708.35,15,7904801.94,17,16,16,183509.6805882353,156080.54882352942,0.0,2.0,11,4,21,14341062.53,15,6,2,1845708.35,19,10065243.77,21,17,17,157309.3361904762,158873.33000000002,0.0,2.0,13,6,22,11377896.040000001,17,5,0,0.0,21,9091132.13,22,19,20,95419.6681818182,76470.91363636364,0.0,0.0,16,5,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,551703.47,416536.37,487936.71,262645.046,685542.9958823529,526986.796,682907.7395238095,529749.6721052631,517177.0927272728,432911.0538095239,0.0,0.0,0
PRAC-1005,Anahi Ahuja,MCI/WES/27078,301939670,2029-04-17,1962-09-05,Male,449083869792,98263541714,anahi.doc63@clinic.com,49 Saran Path,0,Howrah,West Bengal,786006,Pediatrics,Oncology,208000000X,Christian Medical College,1988,HOSP-0017,N,2018-05-10,Active,0,4.0,2325633.0500000003,4.0,0.0,0.0,0.0,3.0,1955378.34,4.0,4.0,4.0,34085.6075,146160.3975,0.0,0.0,3.0,0.0,9,8138511.48,8,1,0,0.0,7,6975504.43,9,9,9,144330.08777777778,158001.0811111111,0.0,0.0,6,1,24,21957645.07,18,6,2,2408508.0,19,16968989.78,24,20,23,163846.18375,178035.6416666667,1.0,1.0,14,5,27,23409016.54,20,7,3,2848315.35,21,17805022.98,27,23,26,158868.24000000002,172379.11925925926,2.0,1.0,16,5,16,7063525.8100000005,10,6,0,0.0,13,4845436.31,16,15,16,84999.206875,82506.400625,0.0,0.0,8,5,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,581408.2625000001,651792.78,904279.0533333333,996500.6328571428,914901.8779166667,893104.725263158,867000.6125925926,847858.2371428572,441470.36312500003,372725.87,0.0,0.0,0
PRAC-1006,Ira Dave,MCI/DEL/84820,8853015484,2030-07-29,1985-09-12,Male,365034125403,98918251445,ira.doc88@clinic.com,524- Contractor Nagar,Bhatti Ganj,New Delhi,Delhi,110005,Pediatrics,Dermatology,208000000X,Kasturba Medical College,2015,HOSP-0026,Y,2018-03-15,Active,0,4.0,3627025.9,3.0,1.0,1.0,733817.41,3.0,2692100.52,4.0,3.0,4.0,175013.93500000003,261429.2375,0.0,1.0,2.0,1.0,11,8825137.23,8,3,1,733817.41,9,6897676.23,11,10,11,197526.40818181817,146452.6090909091,0.0,1.0,6,3,24,18573560.9,17,7,2,904903.78,21,15342097.39,24,19,23,137584.60916666666,187890.67208333334,0.0,2.0,14,7,31,21777769.35,22,9,2,904903.78,28,18341713.68,31,23,30,121321.47032258064,157698.79870967742,0.0,2.0,19,9,22,13544205.51,14,8,2,722432.47,19,10922577.34,22,18,22,123801.48409090909,127766.99363636364,0.0,2.0,11,8,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,906756.475,897366.84,802285.2027272728,766408.4700000001,773898.3708333332,730576.0661904762,702508.6887096774,655061.2028571429,615645.705,574872.4915789474,0.0,0.0,0
PRAC-1007,Eshani Bhatti,MCI/WES/58774,2402099990,2026-11-24,1965-03-24,Female,652219353212,97327538218,eshani.doc88@clinic.com,216 Goswami Path,Walia Ganj,Howrah,West Bengal,727242,Dermatology,Orthopedic Surgery,207N00000X,JIPMER,1992,HOSP-0045,Y,2002-09-01,Active,0,5.0,3151749.21,5.0,0.0,0.0,0.0,4.0,2626420.09,5.0,5.0,5.0,167732.66199999998,92629.24,0.0,0.0,4.0,0.0,13,5669600.64,11,2,1,163814.47,11,4731057.11,13,12,13,101831.99307692307,83816.71769230769,1.0,0.0,10,1,22,11437677.02,16,6,1,163814.47,20,9423801.97,22,20,19,115642.2590909091,90234.45863636363,1.0,0.0,15,5,27,14150900.790000001,21,6,1,163814.47,25,11621828.25,27,22,23,116092.33962962963,88420.45370370371,1.0,0.0,20,5,24,11641091.72,21,3,2,213334.49,16,5344436.05,24,21,23,78397.38708333333,117855.54375,1.0,1.0,14,2,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,630349.842,656605.0225,436123.12615384615,430096.10090909095,519894.41,471190.0985,524107.4366666667,464873.13,485045.48833333334,334027.253125,0.0,0.0,0
PRAC-1008,Dhanush Khatri,MCI/WES/84505,7461325687,2028-11-15,1970-10-30,Other,542117985843,98626297344,dhanush.doc11@clinic.com,H.No. 492- Bhavsar Road,Lal Marg,Howrah,West Bengal,726043,Dermatology,Cardiology,207N00000X,Armed Forces Medical College,2000,HOSP-0021,Y,2004-03-19,Active,0,1.0,924997.21,1.0,0.0,0.0,0.0,1.0,822269.43,1.0,1.0,1.0,305726.81,38693.77,0.0,0.0,1.0,0.0,8,6381340.99,8,0,0,0.0,7,3517400.58,8,8,8,233594.155,144421.70125,0.0,0.0,7,0,17,10223210.82,14,3,0,0.0,16,6643973.6,17,14,17,150990.79352941175,132820.73705882355,0.0,0.0,13,3,22,13706465.11,16,6,0,0.0,19,9152285.47,22,17,22,138952.35045454546,129635.82454545455,0.0,0.0,15,4,17,15273583.91,10,7,1,408487.68,16,12457945.879999999,17,16,13,177134.00823529414,184548.93647058823,0.0,1.0,9,7,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,924997.21,822269.43,797667.62375,502485.79714285716,601365.3423529412,415248.35,623021.1413636364,481699.2352631579,898446.1123529412,778621.6174999999,0.0,0.0,0
PRAC-1009,Farhan Bhavsar,MCI/MAH/95413,7422083834,2026-07-22,1989-12-20,Other,896178882533,99072981514,farhan.doc95@clinic.com,H.No. 271- Mandal Ganj,Ghose Ganj,Nagpur,Maharashtra,469763,Pediatrics,0,208000000X,Armed Forces Medical College,2019,HOSP-0035,Y,2021-10-17,Active,0,1.0,313427.52,1.0,0.0,0.0,0.0,1.0,270492.54,1.0,1.0,1.0,23028.17,126415.4,0.0,0.0,1.0,0.0,2,330559.96,2,0,0,0.0,2,287497.44999999995,2,2,2,13288.81,63243.28999999999,0.0,0.0,2,0,17,8523821.41,13,4,2,1314831.07,15,6078060.04,17,16,16,122173.93294117648,98951.20705882354,0.0,2.0,11,4,20,10173361.45,16,4,2,1314831.07,16,6425094.28,20,17,19,126397.44850000001,102632.6615,0.0,2.0,12,4,26,12548859.53,21,5,1,504524.0,23,10419814.03,26,18,25,94398.07730769229,106978.97153846153,0.0,1.0,19,4,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,313427.52,270492.54,165279.98,143748.72499999998,501401.25941176474,405204.0026666667,508668.07249999995,401568.3925,482648.4434615384,453035.3926086956,0.0,0.0,0
